DateTime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Hour,DayOfWeek,Month,IsWeekend
2005-02-01 16:00:00,3.2,1377.0,106.0,14.4,1129.0,497.0,540.0,162.0,1392.0,1626.0,13.5,44.8,0.6898,16,Tuesday,February,False
2005-02-01 17:00:00,3.6,1454.0,106.0,16.3,1190.0,562.0,508.0,165.0,1434.0,1761.0,12.3,48.9,0.6967,17,Tuesday,February,False
2005-02-01 18:00:00,3.5,1268.0,106.0,14.4,1128.0,539.0,573.0,173.0,1255.0,1533.0,10.8,40.3,0.5201,18,Tuesday,February,False
2005-02-01 19:00:00,4.1,1259.0,106.0,17.0,1211.0,502.0,559.0,188.0,1243.0,1531.0,9.4,36.7,0.4324,19,Tuesday,February,False
2005-02-01 20:00:00,4.0,1261.0,106.0,14.8,1143.0,452.0,595.0,186.0,1208.0,1477.0,8.3,39.5,0.4318,20,Tuesday,February,False
2005-02-01 21:00:00,3.3,1133.0,106.0,9.8,971.0,357.0,683.0,172.0,1059.0,1332.0,7.8,41.3,0.4389,21,Tuesday,February,False
2005-02-01 22:00:00,3.0,1054.0,106.0,6.1,818.0,289.0,777.0,150.0,966.0,1210.0,7.3,43.8,0.4505,22,Tuesday,February,False
2005-02-01 23:00:00,2.6,1055.0,106.0,5.4,783.0,221.0,805.0,137.0,969.0,1167.0,6.7,47.6,0.4688,23,Tuesday,February,False
2005-03-01 00:00:00,0.6,766.0,106.0,1.2,515.0,86.0,1327.0,69.0,642.0,322.0,1.0,37.4,0.2487,0,Tuesday,March,False
2005-03-01 01:00:00,0.6,762.0,106.0,0.9,487.0,71.0,1364.0,60.0,640.0,307.0,0.7,41.2,0.2693,1,Tuesday,March,False
2005-03-01 02:00:00,0.4,736.0,106.0,0.6,453.0,39.0,1498.0,37.0,602.0,268.0,0.2,40.6,0.2566,2,Tuesday,March,False
2005-03-01 03:00:00,0.2,715.0,106.0,0.2,387.0,39.0,1791.0,37.0,559.0,227.0,0.1,40.0,0.2499,3,Tuesday,March,False
2005-03-01 04:00:00,0.2,716.0,106.0,0.2,390.0,29.0,1804.0,27.0,551.0,221.0,-0.1,37.5,0.2326,4,Tuesday,March,False
2005-03-01 05:00:00,0.2,731.0,106.0,0.3,408.0,32.0,1727.0,30.0,561.0,225.0,-0.3,38.4,0.2347,5,Tuesday,March,False
2005-03-01 06:00:00,0.2,735.0,106.0,0.3,407.0,37.0,1677.0,33.0,579.0,232.0,-0.6,40.1,0.2404,6,Tuesday,March,False
2005-03-01 07:00:00,0.5,779.0,106.0,1.0,500.0,134.0,1361.0,84.0,652.0,313.0,-0.6,41.4,0.2478,7,Tuesday,March,False
2005-03-01 08:00:00,1.5,915.0,106.0,5.2,774.0,358.0,911.0,147.0,839.0,629.0,-0.2,40.2,0.2478,8,Tuesday,March,False
2005-03-01 09:00:00,1.9,905.0,106.0,6.1,818.0,354.0,853.0,143.0,840.0,790.0,0.6,36.8,0.2388,9,Tuesday,March,False
2005-03-01 10:00:00,1.4,835.0,106.0,3.6,688.0,284.0,988.0,122.0,720.0,630.0,2.8,30.3,0.2294,10,Tuesday,March,False
2005-03-01 11:00:00,0.9,798.0,106.0,2.3,609.0,213.0,1122.0,109.0,660.0,472.0,3.1,29.1,0.224,11,Tuesday,March,False
2005-03-01 12:00:00,0.7,783.0,106.0,1.9,580.0,174.0,1181.0,95.0,647.0,378.0,3.3,29.2,0.2288,12,Tuesday,March,False
2005-03-01 13:00:00,0.8,807.0,106.0,2.6,623.0,157.0,1097.0,94.0,684.0,384.0,3.1,31.0,0.2386,13,Tuesday,March,False
2005-03-01 14:00:00,1.0,827.0,106.0,3.1,660.0,178.0,1030.0,102.0,709.0,426.0,3.2,30.8,0.2399,14,Tuesday,March,False
2005-03-01 15:00:00,0.9,822.0,106.0,2.7,632.0,187.0,1074.0,107.0,701.0,442.0,3.3,31.5,0.2464,15,Tuesday,March,False
2005-03-01 16:00:00,1.0,830.0,106.0,3.0,655.0,198.0,1045.0,113.0,710.0,467.0,4.1,28.6,0.2363,16,Tuesday,March,False
2005-03-01 17:00:00,0.9,833.0,106.0,3.0,653.0,186.0,1073.0,110.0,708.0,448.0,3.9,29.2,0.2378,17,Tuesday,March,False
2005-03-01 18:00:00,1.4,882.0,106.0,5.0,766.0,203.0,922.0,116.0,815.0,582.0,1.9,35.0,0.2494,18,Tuesday,March,False
2005-03-01 19:00:00,2.1,967.0,106.0,7.5,880.0,313.0,815.0,148.0,887.0,892.0,1.8,35.4,0.2497,19,Tuesday,March,False
2005-03-01 20:00:00,2.8,1009.0,106.0,9.5,958.0,342.0,751.0,156.0,935.0,1006.0,1.4,36.5,0.2503,20,Tuesday,March,False
2005-03-01 21:00:00,2.2,911.0,106.0,5.3,777.0,310.0,913.0,159.0,796.0,852.0,0.8,36.3,0.2388,21,Tuesday,March,False
2005-03-01 22:00:00,1.0,808.0,106.0,2.4,613.0,165.0,1137.0,116.0,672.0,543.0,0.6,34.1,0.221,22,Tuesday,March,False
2005-03-01 23:00:00,1.1,812.0,106.0,2.5,621.0,152.0,1143.0,110.0,669.0,529.0,0.3,31.9,0.2031,23,Tuesday,March,False
2004-04-01 00:00:00,1.6,1143.0,106.0,6.3,825.0,96.0,986.0,86.0,1477.0,978.0,12.0,61.6,0.8593,0,Thursday,April,False
2004-04-01 01:00:00,1.2,1044.0,100.0,5.1,770.0,85.0,1031.0,70.0,1425.0,944.0,11.5,63.9,0.8652,1,Thursday,April,False
2004-04-01 02:00:00,1.1,1034.0,71.0,4.1,716.0,50.0,1085.0,55.0,1405.0,891.0,10.7,67.2,0.863,2,Thursday,April,False
2004-04-01 03:00:00,0.9,956.0,72.0,4.0,713.0,50.0,1099.0,55.0,1422.0,849.0,9.0,73.1,0.8394,3,Thursday,April,False
2004-04-01 04:00:00,0.7,909.0,44.0,2.4,615.0,57.0,1237.0,49.0,1322.0,790.0,10.2,66.6,0.8299,4,Thursday,April,False
2004-04-01 05:00:00,0.9,996.0,45.0,2.9,648.0,64.0,1176.0,50.0,1340.0,852.0,11.0,63.7,0.8325,5,Thursday,April,False
2004-04-01 06:00:00,1.7,1154.0,134.0,7.4,876.0,153.0,1002.0,67.0,1561.0,987.0,9.6,68.8,0.8243,6,Thursday,April,False
2004-04-01 07:00:00,4.2,1510.0,505.0,19.8,1291.0,342.0,675.0,94.0,1949.0,1435.0,9.5,69.6,0.8273,7,Thursday,April,False
2004-04-01 08:00:00,6.2,1722.0,1042.0,31.9,1595.0,378.0,539.0,119.0,2439.0,1798.0,11.9,60.9,0.8455,8,Thursday,April,False
2004-04-01 09:00:00,4.6,1512.0,737.0,21.0,1323.0,304.0,631.0,139.0,2001.0,1677.0,16.2,48.6,0.8892,9,Thursday,April,False
2004-04-01 10:00:00,2.8,1258.0,375.0,11.7,1040.0,192.0,800.0,113.0,1701.0,1282.0,19.2,39.6,0.8693,10,Thursday,April,False
2004-04-01 11:00:00,1.6,1094.0,124.0,6.8,850.0,130.0,970.0,88.0,1489.0,871.0,19.7,38.4,0.8743,11,Thursday,April,False
2004-04-01 12:00:00,1.7,1129.0,137.0,7.4,875.0,106.0,974.0,73.0,1524.0,759.0,20.6,36.7,0.8797,12,Thursday,April,False
2004-04-01 13:00:00,1.7,1125.0,179.0,8.6,924.0,102.0,937.0,73.0,1542.0,790.0,21.8,33.9,0.8771,13,Thursday,April,False
2004-04-01 14:00:00,1.7,1125.0,222.0,8.6,924.0,99.0,937.0,72.0,1542.0,790.0,21.8,33.9,0.8771,14,Thursday,April,False
2004-04-01 15:00:00,1.9,1125.0,197.0,8.6,924.0,108.0,937.0,81.0,1542.0,790.0,21.8,33.9,0.8771,15,Thursday,April,False
2004-04-01 16:00:00,2.3,1125.0,319.0,8.6,924.0,131.0,937.0,93.0,1542.0,790.0,21.8,33.9,0.8771,16,Thursday,April,False
2004-04-01 17:00:00,3.3,1308.0,388.0,16.4,1193.0,163.0,793.0,106.0,1193.0,1187.0,23.6,27.5,0.7913,17,Thursday,April,False
2004-04-01 18:00:00,4.2,1529.0,589.0,21.2,1331.0,211.0,700.0,132.0,2028.0,1399.0,22.8,32.1,0.8814,18,Thursday,April,False
2004-04-01 19:00:00,5.5,1592.0,840.0,25.0,1429.0,267.0,624.0,164.0,2089.0,1644.0,20.8,36.7,0.8878,19,Thursday,April,False
2004-04-01 20:00:00,4.9,1536.0,655.0,20.2,1302.0,269.0,666.0,161.0,1922.0,1599.0,18.3,40.9,0.8493,20,Thursday,April,False
2004-04-01 21:00:00,2.5,1192.0,254.0,10.8,1007.0,154.0,827.0,124.0,1604.0,1223.0,16.8,44.0,0.8341,21,Thursday,April,False
2004-04-01 22:00:00,2.0,1186.0,188.0,9.9,976.0,127.0,844.0,113.0,1570.0,1200.0,15.8,48.0,0.8569,22,Thursday,April,False
2004-04-01 23:00:00,2.0,1203.0,120.0,8.5,920.0,122.0,898.0,103.0,1529.0,1118.0,14.9,52.0,0.8757,23,Thursday,April,False
2005-04-01 00:00:00,0.7,848.0,120.0,1.5,541.0,69.0,1067.0,61.0,937.0,392.0,15.1,44.5,0.7569,0,Friday,April,False
2005-04-01 01:00:00,0.6,818.0,120.0,1.0,497.0,53.0,1198.0,50.0,885.0,347.0,14.6,43.0,0.7108,1,Friday,April,False
2005-04-01 02:00:00,0.5,848.0,120.0,1.1,509.0,36.0,1126.0,35.0,882.0,341.0,14.5,43.7,0.7163,2,Friday,April,False
2005-04-01 03:00:00,0.5,826.0,120.0,0.9,488.0,30.0,1187.0,29.0,895.0,322.0,13.6,46.7,0.7245,3,Friday,April,False
2005-04-01 04:00:00,0.5,818.0,120.0,0.8,473.0,47.0,1257.0,41.0,898.0,323.0,13.7,48.8,0.7606,4,Friday,April,False
2005-04-01 05:00:00,0.5,868.0,120.0,1.4,535.0,88.0,1136.0,66.0,944.0,395.0,13.5,50.6,0.7783,5,Friday,April,False
2005-04-01 06:00:00,0.6,901.0,120.0,2.0,586.0,135.0,993.0,89.0,979.0,510.0,13.7,47.4,0.7412,6,Friday,April,False
2005-04-01 07:00:00,1.5,1044.0,120.0,6.7,845.0,280.0,710.0,150.0,1158.0,909.0,13.7,45.9,0.7154,7,Friday,April,False
2005-04-01 08:00:00,1.9,1030.0,120.0,6.3,828.0,313.0,705.0,150.0,1130.0,869.0,16.1,41.0,0.7435,8,Friday,April,False
2005-04-01 09:00:00,1.3,965.0,120.0,4.3,730.0,205.0,799.0,127.0,1038.0,652.0,16.1,41.5,0.7559,9,Friday,April,False
2005-04-01 10:00:00,1.0,948.0,120.0,3.5,684.0,180.0,851.0,120.0,1011.0,599.0,16.5,40.8,0.757,10,Friday,April,False
2005-04-01 11:00:00,1.0,939.0,120.0,3.6,687.0,197.0,870.0,123.0,981.0,550.0,18.9,33.8,0.7312,11,Friday,April,False
2005-04-01 12:00:00,1.1,925.0,120.0,4.0,713.0,172.0,853.0,115.0,957.0,518.0,19.2,29.5,0.648,12,Friday,April,False
2005-04-01 13:00:00,1.3,924.0,120.0,4.5,739.0,184.0,834.0,122.0,966.0,541.0,19.9,26.3,0.6054,13,Friday,April,False
2005-04-01 14:00:00,1.0,891.0,120.0,3.3,669.0,160.0,923.0,111.0,911.0,456.0,19.2,27.0,0.5934,14,Friday,April,False
2005-04-01 15:00:00,1.1,897.0,120.0,3.6,687.0,176.0,908.0,119.0,916.0,467.0,19.4,25.3,0.5625,15,Friday,April,False
2005-04-01 16:00:00,1.4,939.0,120.0,4.3,726.0,219.0,890.0,137.0,955.0,508.0,18.9,26.2,0.5667,16,Friday,April,False
2005-04-01 17:00:00,1.5,943.0,120.0,5.1,770.0,222.0,856.0,147.0,959.0,583.0,19.3,24.7,0.5483,17,Friday,April,False
2005-04-01 18:00:00,1.6,928.0,120.0,5.5,790.0,231.0,812.0,154.0,951.0,609.0,17.1,25.3,0.4881,18,Friday,April,False
2005-04-01 19:00:00,2.2,961.0,120.0,7.4,874.0,248.0,747.0,160.0,1003.0,757.0,15.6,26.2,0.4604,19,Friday,April,False
2005-04-01 20:00:00,1.4,867.0,120.0,3.7,694.0,183.0,906.0,134.0,858.0,539.0,13.8,30.6,0.479,20,Friday,April,False
2005-04-01 21:00:00,0.9,823.0,120.0,1.9,579.0,144.0,1070.0,110.0,778.0,420.0,13.1,31.7,0.4756,21,Friday,April,False
2005-04-01 22:00:00,0.8,835.0,120.0,2.1,593.0,132.0,1072.0,99.0,793.0,408.0,13.2,31.8,0.4798,22,Friday,April,False
2005-04-01 23:00:00,1.1,893.0,120.0,3.4,675.0,180.0,955.0,127.0,853.0,560.0,13.6,30.8,0.4779,23,Friday,April,False
2004-05-01 00:00:00,3.5,1425.0,275.0,15.2,1155.0,185.0,709.0,110.0,1936.0,1789.0,17.8,66.8,1.346,0,Saturday,May,True
2004-05-01 01:00:00,2.4,1179.0,275.0,9.3,951.0,129.0,826.0,84.0,1724.0,1323.0,17.3,68.3,1.3346,1,Saturday,May,True
2004-05-01 02:00:00,1.6,1047.0,275.0,6.5,833.0,85.0,939.0,71.0,1647.0,1081.0,16.5,70.2,1.3099,2,Saturday,May,True
2004-05-01 03:00:00,1.3,1009.0,275.0,6.3,825.0,85.0,950.0,71.0,1629.0,938.0,15.7,73.1,1.2902,3,Saturday,May,True
2004-05-01 04:00:00,1.3,882.0,275.0,3.5,685.0,35.0,1134.0,42.0,1492.0,673.0,16.2,69.9,1.2756,4,Saturday,May,True
2004-05-01 05:00:00,0.6,858.0,275.0,2.6,624.0,24.0,1205.0,32.0,1434.0,543.0,16.7,67.1,1.2619,5,Saturday,May,True
2004-05-01 06:00:00,0.7,875.0,275.0,3.1,659.0,30.0,1180.0,35.0,1452.0,561.0,16.7,66.9,1.2631,6,Saturday,May,True
2004-05-01 07:00:00,1.2,1012.0,275.0,6.5,833.0,75.0,916.0,67.0,1632.0,862.0,16.9,66.5,1.2688,7,Saturday,May,True
2004-05-01 08:00:00,1.5,1049.0,275.0,6.5,836.0,79.0,926.0,73.0,1615.0,901.0,17.7,62.0,1.2458,8,Saturday,May,True
2004-05-01 09:00:00,1.8,1131.0,275.0,8.8,932.0,104.0,854.0,86.0,1693.0,1048.0,19.4,54.6,1.2184,9,Saturday,May,True
2004-05-01 10:00:00,2.1,1120.0,275.0,8.8,931.0,118.0,886.0,89.0,1652.0,971.0,21.6,46.1,1.1725,10,Saturday,May,True
2004-05-01 11:00:00,1.9,1117.0,275.0,9.2,946.0,105.0,909.0,86.0,1657.0,915.0,24.6,36.7,1.1202,11,Saturday,May,True
2004-05-01 12:00:00,2.0,1110.0,275.0,9.2,948.0,101.0,901.0,86.0,1632.0,891.0,26.0,31.9,1.0566,12,Saturday,May,True
2004-05-01 13:00:00,1.3,962.0,275.0,6.1,816.0,65.0,1044.0,66.0,1489.0,628.0,25.6,31.5,1.0184,13,Saturday,May,True
2004-05-01 14:00:00,1.3,963.0,275.0,6.5,835.0,59.0,1029.0,68.0,1495.0,556.0,24.8,34.8,1.0716,14,Saturday,May,True
2004-05-01 15:00:00,1.8,1050.0,275.0,9.2,948.0,80.0,928.0,82.0,1584.0,652.0,26.1,30.3,1.0101,15,Saturday,May,True
2004-05-01 16:00:00,2.0,1053.0,275.0,8.3,911.0,98.0,949.0,91.0,1603.0,683.0,25.5,33.5,1.0767,16,Saturday,May,True
2004-05-01 17:00:00,1.8,1045.0,275.0,8.3,910.0,89.0,948.0,95.0,1598.0,624.0,23.7,37.2,1.0746,17,Saturday,May,True
2004-05-01 18:00:00,2.4,1124.0,275.0,11.0,1013.0,114.0,849.0,104.0,1676.0,733.0,22.3,38.9,1.0324,18,Saturday,May,True
2004-05-01 19:00:00,4.0,1330.0,275.0,14.7,1140.0,195.0,759.0,131.0,1780.0,1062.0,20.7,42.8,1.0298,19,Saturday,May,True
2004-05-01 20:00:00,2.8,1171.0,275.0,10.8,1006.0,156.0,835.0,112.0,1674.0,988.0,19.0,51.7,1.1222,20,Saturday,May,True
2004-05-01 21:00:00,2.0,1085.0,275.0,9.4,954.0,109.0,866.0,100.0,1656.0,871.0,17.8,55.5,1.1174,21,Saturday,May,True
2004-05-01 22:00:00,3.6,1358.0,275.0,14.8,1144.0,184.0,727.0,115.0,1851.0,1243.0,17.4,57.6,1.1342,22,Saturday,May,True
2004-05-01 23:00:00,3.7,1385.0,275.0,13.3,1094.0,190.0,765.0,129.0,1769.0,1175.0,17.6,58.5,1.1645,23,Saturday,May,True
2004-06-01 00:00:00,0.3,922.0,275.0,4.7,750.0,46.0,1085.0,45.0,1585.0,685.0,18.6,75.7,1.6074,0,Tuesday,June,False
2004-06-01 01:00:00,0.3,830.0,275.0,2.9,644.0,17.0,1235.0,23.0,1487.0,524.0,19.6,68.4,1.5443,1,Tuesday,June,False
2004-06-01 02:00:00,0.3,805.0,275.0,2.0,583.0,18.0,1339.0,26.0,1494.0,527.0,18.0,76.4,1.5608,2,Tuesday,June,False
2004-06-01 03:00:00,0.3,760.0,275.0,1.1,505.0,18.0,1527.0,26.0,1413.0,452.0,17.3,77.2,1.5104,3,Tuesday,June,False
2004-06-01 04:00:00,0.3,783.0,275.0,1.3,529.0,16.0,1437.0,24.0,1435.0,466.0,16.5,82.3,1.5318,4,Tuesday,June,False
2004-06-01 05:00:00,0.1,854.0,275.0,2.4,613.0,39.0,1272.0,41.0,1515.0,565.0,16.8,81.3,1.5452,5,Tuesday,June,False
2004-06-01 06:00:00,0.3,985.0,275.0,6.1,816.0,107.0,987.0,65.0,1677.0,799.0,17.3,78.6,1.5412,6,Tuesday,June,False
2004-06-01 07:00:00,1.4,1225.0,275.0,12.5,1067.0,190.0,760.0,94.0,1922.0,1102.0,16.9,80.9,1.5472,7,Tuesday,June,False
2004-06-01 08:00:00,2.7,1313.0,275.0,19.5,1283.0,236.0,671.0,100.0,2180.0,1299.0,17.1,79.8,1.542,8,Tuesday,June,False
2004-06-01 09:00:00,2.3,1199.0,275.0,15.2,1156.0,227.0,758.0,103.0,1958.0,1272.0,18.5,70.3,1.4826,9,Tuesday,June,False
2004-06-01 10:00:00,1.8,1182.0,275.0,12.0,1051.0,211.0,829.0,89.0,1870.0,1206.0,19.6,66.7,1.5023,10,Tuesday,June,False
2004-06-01 11:00:00,1.6,1173.0,275.0,12.4,1063.0,201.0,814.0,86.0,1905.0,1218.0,20.4,63.1,1.4969,11,Tuesday,June,False
2004-06-01 12:00:00,1.9,1259.0,275.0,15.9,1178.0,191.0,722.0,89.0,2060.0,1367.0,21.6,61.8,1.5775,12,Tuesday,June,False
2004-06-01 13:00:00,2.5,1263.0,275.0,15.7,1171.0,192.0,759.0,88.0,2029.0,1290.0,24.0,49.3,1.4509,13,Tuesday,June,False
2004-06-01 14:00:00,1.6,1156.0,275.0,13.5,1100.0,143.0,800.0,73.0,1884.0,1175.0,25.7,43.8,1.4262,14,Tuesday,June,False
2004-06-01 15:00:00,1.5,1167.0,275.0,12.4,1065.0,148.0,808.0,78.0,1886.0,1139.0,24.6,47.5,1.4487,15,Tuesday,June,False
2004-06-01 16:00:00,2.5,1278.0,275.0,17.1,1213.0,183.0,733.0,95.0,2041.0,1293.0,24.8,47.4,1.4628,16,Tuesday,June,False
2004-06-01 17:00:00,3.6,1342.0,275.0,22.0,1351.0,216.0,657.0,109.0,2201.0,1419.0,23.7,50.5,1.4636,17,Tuesday,June,False
2004-06-01 18:00:00,3.5,1353.0,275.0,19.9,1292.0,184.0,683.0,95.0,2178.0,1326.0,23.0,53.8,1.4968,18,Tuesday,June,False
2004-06-01 19:00:00,4.8,1501.0,275.0,27.9,1501.0,248.0,588.0,101.0,2486.0,1517.0,21.5,65.8,1.6688,19,Tuesday,June,False
2004-06-01 20:00:00,3.7,1355.0,275.0,19.7,1289.0,221.0,678.0,88.0,2158.0,1391.0,21.0,66.9,1.6436,20,Tuesday,June,False
2004-06-01 21:00:00,2.1,1230.0,275.0,15.7,1169.0,159.0,737.0,77.0,2020.0,1275.0,20.6,68.1,1.6329,21,Tuesday,June,False
2004-06-01 22:00:00,1.6,1148.0,275.0,12.0,1048.0,136.0,822.0,75.0,1883.0,1168.0,20.5,66.9,1.5914,22,Tuesday,June,False
2004-06-01 23:00:00,2.2,1171.0,275.0,13.1,1088.0,168.0,822.0,81.0,1889.0,1132.0,20.2,65.2,1.5251,23,Tuesday,June,False
2004-07-01 00:00:00,2.3,1109.0,275.0,12.9,1080.0,111.0,696.0,102.0,1874.0,1190.0,27.1,47.4,1.6701,0,Thursday,July,False
2004-07-01 01:00:00,1.5,1032.0,275.0,9.9,974.0,66.0,763.0,77.0,1800.0,982.0,26.2,49.4,1.6555,1,Thursday,July,False
2004-07-01 02:00:00,0.9,893.0,275.0,5.1,767.0,36.0,918.0,50.0,1607.0,805.0,26.9,49.3,1.7196,2,Thursday,July,False
2004-07-01 03:00:00,0.6,848.0,275.0,2.8,642.0,36.0,1079.0,50.0,1536.0,654.0,26.3,50.8,1.7058,3,Thursday,July,False
